    target  count  region      srcs
 0x20116f0     1  decomp      0x2011770
 0x2011830     3  decomp      0x2015b04, 0x202d11c, 0x203261c
 0x2011938     1  decomp      0x2011878
 0x2011994     2  decomp      0x201189c, 0x201194c
 0x2011a68     4  decomp      0x2011cb4, 0x20168ec, 0x2016958, 0x2026bf0
 0x2011c5c     2  decomp      0x2011aa4, 0x2011d08
 0x2011c8c     1  decomp      0x2017b14
 0x2011de4     1  decomp      0x2011e18
 0x2011e0c     1  decomp      0x20120e8
 0x2011e90     2  decomp      0x2011848, 0x201204c
 0x2011ee8     1  decomp      0x2011f24
 0x2011f10     3  decomp      0x20120d0, 0x2016d70, 0x2016de0
 0x2012030     3  decomp      0x2017b0c, 0x2017c28, 0x203c66c
 0x20120bc     1  decomp      0x2017b08
 0x2012128     2  decomp      0x2017bc0, 0x2026d2c
 0x2012268     1  decomp      0x2017bb4
 0x20122bc     3  decomp      0x2017b28, 0x2018df0, 0x202791c
 0x20122f8     1  decomp      0x2012790
 0x201230c    50  decomp      0x2014064, 0x2014084, 0x20144c8, 0x2014550, 0x20145b4, 0x201677c
 0x2012324     2  decomp      0x2019a60, 0x203bbb0
 0x2012348     6  decomp      0x2014104, 0x2032e80, 0x2032ea8, 0x2032ed0, 0x2032ef8, 0x2034ed4
 0x2012378    37  decomp      0x2012328, 0x20140dc, 0x201950c, 0x2019750, 0x2019944, 0x2019970
 0x20123a8     2  decomp      0x2012368, 0x2012398
 0x20123c8    15  decomp      0x2012330, 0x201994c, 0x2019978, 0x20199a8, 0x20199e0, 0x2019a08
 0x20123e0     2  decomp      0x201501c, 0x201787c
 0x201246c     1  decomp      0x201240c
 0x2012568     3  decomp      0x2011d3c, 0x201508c, 0x20178c0
 0x2012648     2  decomp      0x201235c, 0x2012994
 0x201273c     2  decomp      0x201238c, 0x20129c4
 0x20128d8     4  decomp      0x2012510, 0x2012534, 0x201254c, 0x2012570
 0x2012930     1  decomp      0x201278c
 0x2012944    53  decomp      0x2011a54, 0x2011ccc, 0x2013f20, 0x2014074, 0x2014094, 0x2014fec
 0x201295c     2  decomp      0x20157e0, 0x20157f0
 0x2012980    18  decomp      0x2011a24, 0x2011d80, 0x2012960, 0x2013b2c, 0x2013e70, 0x2014118
 0x20129b0    11  decomp      0x2011cfc, 0x20140f0, 0x2015010, 0x2017870, 0x2035744, 0x2036158
 0x20129e0     1  decomp      0x2017aec
 0x2012a00     1  decomp      0x2011ca0
 0x2012a18     2  decomp      0x20129a0, 0x20129d0
 0x2012a38     5  decomp      0x2011db8, 0x2012968, 0x2039688, 0x203cc54, 0x203cd54
 0x2012a50     1  decomp      0x2011dac
 0x2012a5c     1  decomp      0x2017bac
 0x2012a70     1  decomp      0x2017af0
 0x2012a90     1  decomp      0x201366c
 0x2012ad4    11  decomp      0x2037b88, 0x203805c, 0x203807c, 0x203809c, 0x2038180, 0x203819c
 0x2012b34     1  decomp      0x2017b04
 0x2012bb8     1  decomp      0x2017c3c
 0x2012bc8     1  decomp      0x2017980
 0x2012bf4    18  decomp      0x2018d54, 0x2019124, 0x201ad60, 0x201ad80, 0x201aecc, 0x201aeec
 0x2012c80     1  decomp      0x2012cac
 0x2012ca0     3  decomp      0x2017b58, 0x2037cb4, 0x2037d1c
 0x2012d10     8  decomp      0x201233c, 0x2012974, 0x2019b1c, 0x20215fc, 0x203e004, 0x203e020
 0x2012d28    26  decomp      0x2016e20, 0x201995c, 0x2019988, 0x20199b8, 0x20199f0, 0x2019a18
 0x2012d40     1  decomp      0x201328c
 0x2012d4c     1  decomp      0x203d7bc
 0x2012d7c     2  decomp      0x2012ee8, 0x2012f94
 0x2012d94    11  decomp      0x2019524, 0x2019548, 0x20196b4, 0x20197c0, 0x2019a44, 0x201c494
 0x2012dcc     1  decomp      0x2012448
 0x2012e68     2  decomp      0x20119b4, 0x2012f2c
 0x2012ef4     1  decomp      0x2011a30
 0x2012fa0     1  decomp      0x2013490
 0x2012fb4     1  decomp      0x201e5e4
 0x201311c    16  decomp      0x201e5bc, 0x201ea10, 0x201ec58, 0x201ee78, 0x201f088, 0x202e290
 0x2013188     1  decomp      0x2026d74
 0x20131a8     5  decomp      0x20336b0, 0x20338a8, 0x2033af0, 0x2033d80, 0x2033f18
 0x20131e4     1  decomp      0x2033eac
 0x2013220    13  decomp      0x2013008, 0x20130d8, 0x201eae8, 0x201ebc0, 0x201ebd8, 0x201eccc
 0x201325c     6  decomp      0x2012fe8, 0x20130b4, 0x201e4e8, 0x201e850, 0x201ea00, 0x202f594
 0x2013278     1  decomp      0x2017be8
 0x2013400     3  decomp      0x2016d64, 0x2016dd4, 0x2017b60
 0x2013508     1  decomp      0x2017b50
 0x201351c     1  decomp      0x2017b4c
 0x2013530     1  decomp      0x2016798
 0x2013558     9  decomp      0x2018ed0, 0x2019140, 0x2019164, 0x2019174, 0x2019184, 0x2019290
 0x201356c     3  decomp      0x20190a4, 0x20190b4, 0x20190f0
 0x2013584     5  decomp      0x2018e5c, 0x2018f88, 0x2018fa8, 0x20191bc, 0x20191dc
 0x20135ac     5  decomp      0x20163f0, 0x201642c, 0x2016458, 0x201679c, 0x2016808
 0x20135c0     1  decomp      0x2019408
