start	end	size	refs
0x02005D14	0x020158C4	64432	1
0x02005D24	0x020158C4	64416	1
0x02005D34	0x020158C4	64400	1
0x02005D48	0x020158C4	64380	1
0x02005D50	0x020158C4	64372	1
0x02005D58	0x020158C4	64364	0
0x02005DCC	0x020158C4	64248	2
0x02005DE0	0x020158C4	64228	1
0x02005E70	0x020158C4	64084	1
0x02005EDC	0x020158C4	63976	1
0x02005F4C	0x020158C4	63864	1
0x02005F68	0x020158C4	63836	1
0x02005F78	0x020158C4	63820	0
0x02006000	0x020158C4	63684	1
0x0200609C	0x020158C4	63528	1
0x02006100	0x020158C4	63428	0
0x0200610C	0x020158C4	63416	1
0x02006120	0x020158C4	63396	117
0x02006134	0x020158C4	63376	119
0x0200614C	0x020158C4	63352	2
0x02006160	0x020158C4	63332	2
0x02006178	0x020158C4	63308	1
0x02006184	0x020158C4	63296	1
0x02006190	0x020158C4	63284	8
0x0200619C	0x020158C4	63272	10
0x020061C4	0x020158C4	63232	0
0x02006208	0x020158C4	63164	1
0x02006270	0x020158C4	63060	2
0x020062EC	0x020158C4	62936	4
0x02006300	0x020158C4	62916	0
0x02006308	0x020158C4	62908	1
0x02006310	0x020158C4	62900	1
0x02006398	0x020158C4	62764	1
0x020063CC	0x020158C4	62712	1
0x020064BC	0x020164BC	65536	3
0x020064C8	0x020164C8	65536	35
0x020064DC	0x020164DC	65536	1
0x020064EC	0x020164EC	65536	4
0x0200655C	0x0201655C	65536	1
0x02006610	0x02016610	65536	3
0x02006694	0x02016694	65536	7
0x02006704	0x02016704	65536	8
0x020067AC	0x020167AC	65536	1
0x02006884	0x02016884	65536	14
0x020068FC	0x020168FC	65536	13
0x02006978	0x02016978	65536	4
0x02006A08	0x02016A08	65536	22
0x02006A20	0x02016A20	65536	10
0x02006A3C	0x02016A3C	65536	14
0x02006A50	0x02016A50	65536	6
0x02006A68	0x02016A68	65536	11
0x02006AB4	0x02016A68	65460	1
0x02006AEC	0x02016AEC	65536	20
0x02006B80	0x02016B80	65536	84
0x02006CB0	0x02016CA8	65528	1
0x02006CB8	0x02016CA8	65520	1
0x02006D4C	0x02016CA8	65372	1
0x02006E24	0x02016CA8	65156	1
0x02006E90	0x02016E90	65536	1
0x02006EF0	0x02016EF0	65536	1
0x02006F7C	0x02016F7C	65536	1
0x02006FA0	0x02016FA0	65536	12
0x02006FF8	0x02016FB0	65464	0
0x0200702C	0x02016FB0	65412	1
0x02007060	0x02016FB0	65360	2
0x0200708C	0x02016FB0	65316	1
0x020070B8	0x020170B8	65536	1
0x020070E4	0x020170E4	65536	1
