f=1 ed=0xFF ec=0xFF 57=0xFF 26=0xFF ptr(4D)=0xFFFF
f=1530 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA123
f=1532 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA124
f=1534 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA125
f=1536 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA126
f=1538 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA127
f=1542 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA128
f=1544 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA129
f=1546 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA12A
f=1548 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA12B
f=1550 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA12C
f=1552 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA12D
f=1554 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA12E
f=1556 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA12F
f=1558 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA130
f=1560 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA131
f=1562 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA132
f=1564 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA133
f=1566 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA134
f=1570 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA135
f=1586 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA137
f=1706 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA138
f=1721 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA139
f=1725 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA13E
f=1743 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA143
f=1744 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA14B
f=1749 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA14C
f=1754 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA14D
f=1759 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA14E
f=1799 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA151
f=1804 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA152
f=1809 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA153
f=1814 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA154
f=1819 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA155
f=1824 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA156
f=1829 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA157
f=1834 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA158
f=1839 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA159
f=1844 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA15A
f=1848 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA15B
f=1853 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA15C
f=1858 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA15D
f=1863 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA15E
f=1868 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA15F
f=1873 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA160
f=1878 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA161
f=1883 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA162
f=1888 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA163
f=1893 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA166
f=1898 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA167
f=1903 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA168
f=1908 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA169
f=1913 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA16A
f=1918 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA16B
f=1922 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA16C
f=1962 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA16D
f=1967 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA16E
f=1972 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA16F
f=1977 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA170
f=1982 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA171
f=1987 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA172
f=1992 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA173
f=1997 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA174
f=2002 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA175
f=2007 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA176
f=2012 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA177
f=2017 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA178
