JSR $A212 at PRG idx 0x000807 bank 0 runtime $8807 (R7 base $A000: $a807)
JMP $A484 at PRG idx 0x004212 bank 2 runtime $8212 (R7 base $A000: $a212)
op $24 $0091 at PRG idx 0x01fb8a bank 15 runtime $9b8a (R7 base $A000: $bb8a)
op $24 $0091 at PRG idx 0x01fc23 bank 15 runtime $9c23 (R7 base $A000: $bc23)
op $24 $0091 at PRG idx 0x01fc2b bank 15 runtime $9c2b (R7 base $A000: $bc2b)
op $21 $0091 at PRG idx 0x01fe5f bank 15 runtime $9e5f (R7 base $A000: $be5f)
op $85 $0091 at PRG idx 0x024b27 bank 18 runtime $8b27 (R7 base $A000: $ab27)
op $01 $0091 at PRG idx 0x0283e5 bank 20 runtime $83e5 (R7 base $A000: $a3e5)
op $01 $0091 at PRG idx 0x0284e9 bank 20 runtime $84e9 (R7 base $A000: $a4e9)
op $11 $0091 at PRG idx 0x0285ec bank 20 runtime $85ec (R7 base $A000: $a5ec)
op $41 $0091 at PRG idx 0x0289e0 bank 20 runtime $89e0 (R7 base $A000: $a9e0)
op $a5 $0091 at PRG idx 0x0289ea bank 20 runtime $89ea (R7 base $A000: $a9ea)
op $e6 $0091 at PRG idx 0x0289f2 bank 20 runtime $89f2 (R7 base $A000: $a9f2)
op $01 $0091 at PRG idx 0x02af8f bank 21 runtime $8f8f (R7 base $A000: $af8f)
op $01 $0091 at PRG idx 0x02af98 bank 21 runtime $8f98 (R7 base $A000: $af98)
op $c6 $0091 at PRG idx 0x02c2c2 bank 22 runtime $82c2 (R7 base $A000: $a2c2)
op $86 $0091 at PRG idx 0x02c60e bank 22 runtime $860e (R7 base $A000: $a60e)
op $15 $0091 at PRG idx 0x02d009 bank 22 runtime $9009 (R7 base $A000: $b009)
op $51 $0091 at PRG idx 0x02d6ff bank 22 runtime $96ff (R7 base $A000: $b6ff)
op $86 $0091 at PRG idx 0x02e0ad bank 23 runtime $80ad (R7 base $A000: $a0ad)
op $86 $0091 at PRG idx 0x02e0f9 bank 23 runtime $80f9 (R7 base $A000: $a0f9)
op $45 $0091 at PRG idx 0x02f220 bank 23 runtime $9220 (R7 base $A000: $b220)
op $01 $0091 at PRG idx 0x033621 bank 25 runtime $9621 (R7 base $A000: $b621)
op $05 $0091 at PRG idx 0x0345cd bank 26 runtime $85cd (R7 base $A000: $a5cd)
op $05 $0091 at PRG idx 0x0350d2 bank 26 runtime $90d2 (R7 base $A000: $b0d2)
op $91 $0091 at PRG idx 0x03695d bank 27 runtime $895d (R7 base $A000: $a95d)
op $91 $0091 at PRG idx 0x036a25 bank 27 runtime $8a25 (R7 base $A000: $aa25)
op $01 $0091 at PRG idx 0x038e99 bank 28 runtime $8e99 (R7 base $A000: $ae99)
op $55 $0091 at PRG idx 0x038ea7 bank 28 runtime $8ea7 (R7 base $A000: $aea7)
op $71 $0091 at PRG idx 0x038eab bank 28 runtime $8eab (R7 base $A000: $aeab)
op $c5 $0091 at PRG idx 0x038eb9 bank 28 runtime $8eb9 (R7 base $A000: $aeb9)
op $e1 $0091 at PRG idx 0x038ebf bank 28 runtime $8ebf (R7 base $A000: $aebf)
op $91 $0091 at PRG idx 0x03bb76 bank 29 runtime $9b76 (R7 base $A000: $bb76)
op $b5 $0091 at PRG idx 0x03c169 bank 30 runtime $8169 (R7 base $A000: $a169)
op $f5 $0091 at PRG idx 0x03cf3c bank 30 runtime $8f3c (R7 base $A000: $af3c)
op $01 $0091 at PRG idx 0x03e486 bank 31 runtime $8486 (R7 base $A000: $a486)
op $f5 $0091 at PRG idx 0x03f368 bank 31 runtime $9368 (R7 base $A000: $b368)
op $f6 $0091 at PRG idx 0x03f3d0 bank 31 runtime $93d0 (R7 base $A000: $b3d0)
op $91 $0091 at PRG idx 0x04f886 bank 39 runtime $9886 (R7 base $A000: $b886)
op $71 $0091 at PRG idx 0x05389b bank 41 runtime $989b (R7 base $A000: $b89b)
op $71 $0091 at PRG idx 0x054211 bank 42 runtime $8211 (R7 base $A000: $a211)
op $71 $0091 at PRG idx 0x054216 bank 42 runtime $8216 (R7 base $A000: $a216)
op $71 $0091 at PRG idx 0x0546d8 bank 42 runtime $86d8 (R7 base $A000: $a6d8)
op $71 $0091 at PRG idx 0x0546dd bank 42 runtime $86dd (R7 base $A000: $a6dd)
op $71 $0091 at PRG idx 0x054746 bank 42 runtime $8746 (R7 base $A000: $a746)
op $91 $0091 at PRG idx 0x054a69 bank 42 runtime $8a69 (R7 base $A000: $aa69)
